Date,Open,High,Low,Close,Adj Close,Volume
2023-09-11,81.790001,84.760002,81.250000,84.750000,83.119995,13595030
2023-09-12,92.940002,92.940002,77.400002,82.830002,81.236923,63662980
2023-09-13,80.000000,84.300003,75.330002,78.849998,77.333473,38724040
2023-09-14,80.010002,81.989998,78.750000,81.300003,79.736359,12699050
2023-09-15,82.000000,82.000000,78.800003,79.230003,78.381035,11368370
2023-09-18,79.260002,79.570000,76.139999,76.580002,75.759430,6694949
2023-09-20,75.559998,79.400002,73.940002,77.120003,76.293640,8768369
2023-09-21,76.650002,78.190002,74.000000,74.430000,73.632462,7170444
2023-09-22,75.000000,76.050003,71.379997,75.129997,74.324959,10942020
2023-09-25,76.000000,78.660004,74.879997,76.790001,75.967178,12456880
2023-09-26,77.989998,77.989998,75.589996,75.959999,75.146072,4185210
2023-09-27,74.949997,76.709999,74.910004,75.410004,74.601967,6263513
2023-09-28,76.000000,76.300003,74.610001,74.839996,74.038071,4751073
2023-09-29,75.209999,77.599998,74.620003,76.580002,75.759430,3934511
2023-10-03,76.900002,77.779999,76.300003,76.589996,75.769318,7843227
2023-10-04,76.230003,76.599998,73.820000,75.059998,74.255714,3550864
2023-10-05,75.610001,75.919998,74.000000,74.330002,73.533539,4288546
2023-10-06,75.000000,76.000000,73.860001,74.809998,74.008392,3088172
2023-10-09,72.800003,72.919998,70.400002,71.190002,70.427185,4945172
2023-10-10,71.209999,76.230003,71.209999,75.669998,74.859177,14412060
2023-10-11,76.919998,77.669998,75.300003,75.550003,74.740463,8503090
2023-10-12,76.000000,76.160004,74.800003,75.139999,74.334854,4966611
2023-10-13,74.610001,78.339996,74.610001,76.639999,75.818787,11797980
2023-10-16,77.110001,77.239998,76.150002,76.290001,75.472534,5817137
2023-10-17,76.870003,80.800003,76.610001,79.150002,78.301888,11560210
2023-10-18,80.070000,80.699997,77.160004,77.449997,76.620102,10628230
2023-10-19,76.790001,78.290001,75.900002,77.610001,76.778389,3701338
2023-10-20,77.690002,79.190002,76.650002,77.029999,76.204605,6218560
2023-10-23,77.500000,78.099998,72.000000,72.220001,71.446144,5204450
2023-10-25,73.260002,74.930000,68.000000,70.279999,69.526932,11074820
2023-10-26,68.690002,71.349998,65.750000,70.180000,69.428001,6396180
2023-10-27,71.570000,73.099998,70.500000,71.970001,71.198822,5782366
2023-10-30,72.639999,73.000000,69.919998,72.769997,71.990250,7117673
2023-10-31,73.790001,74.419998,72.099998,72.610001,71.831970,6867435
2023-11-01,72.879997,73.400002,72.510002,72.930000,72.148537,3057186
2023-11-02,74.010002,74.529999,72.849998,73.059998,72.277145,1851566
2023-11-03,72.889999,73.349998,71.029999,72.120003,71.347221,6130732
2023-11-06,73.389999,74.150002,72.650002,72.839996,72.059502,2548161
2023-11-07,73.440002,74.250000,72.809998,73.050003,72.267258,4394244
2023-11-08,73.580002,76.449997,73.400002,75.550003,74.740463,9424438
2023-11-09,76.089996,76.900002,74.120003,74.660004,73.860001,3655732
2023-11-10,74.599998,74.599998,73.260002,74.089996,74.089996,4013754
2023-11-13,74.599998,74.699997,73.550003,73.650002,73.650002,4161621
2023-11-15,74.400002,74.800003,73.139999,73.470001,73.470001,3454790
2023-11-16,73.610001,73.910004,73.029999,73.110001,73.110001,1005952
2023-11-17,73.160004,77.570000,72.709999,76.889999,76.889999,15472840
2023-11-20,77.480003,78.500000,75.800003,76.080002,76.080002,4138927
2023-11-21,76.449997,78.150002,76.300003,76.900002,76.900002,4563922
2023-11-22,77.250000,78.000000,75.500000,76.639999,76.639999,5454109
2023-11-23,76.800003,77.400002,76.349998,76.510002,76.510002,2318375
2023-11-24,76.769997,77.500000,75.849998,76.089996,76.089996,3966347
2023-11-28,76.339996,76.750000,75.300003,75.610001,75.610001,1794812
